Condition,SplitPerSession,Features,LearningRate,LossFunction,Iterations,Accuracy,Precision,Recall,F-Score,AUC,AverageLogLoss,TrainingLogLoss,HiddenNodes,Momentum,InitialLearningWeightsDiameter
Awake vs Sleep,100,5,0.03,SquaredError,28657,0.968775,0.95641,0.861432,0.90644,0.981216,0.155746,66.48007,30,0.03,0.2
Awake vs Sleep,100,5,0.1,SquaredError,28657,0.96837,0.944862,0.87067,0.90625,0.981281,0.165915,64.29158,30,0.03,0.2
Awake vs Sleep,100,5,0.05,SquaredError,28657,0.967559,0.951407,0.859122,0.902913,0.981183,0.204491,55.989125,30,0.03,0.2
Awake vs Sleep,100,5,0.3,CrossEntropy,28657,0.967559,0.925301,0.886836,0.90566,0.985,0.268163,42.285479,30,0.03,0.2
Awake vs Sleep,100,5,0.03,CrossEntropy,28657,0.967559,0.946835,0.863741,0.903382,0.98535,0.184051,60.388118,30,0.03,0.2
Awake vs Sleep,100,5,0.01,CrossEntropy,28657,0.967559,0.944584,0.866051,0.903614,0.985195,0.169309,63.561033,30,0.03,0.2
Awake vs Sleep,100,5,0.1,CrossEntropy,28657,0.965937,0.928747,0.872979,0.9,0.980811,0.22173,52.278919,30,0.03,0.2
Awake vs Sleep,100,5,0.01,SquaredError,28657,0.964315,0.952756,0.838337,0.891892,0.978641,0.157791,66.039951,30,0.03,0.2
Awake vs Sleep,100,5,0.2,CrossEntropy,28657,0.963504,0.911271,0.877598,0.894118,0.98166,0.174987,62.338988,30,0.03,0.2
Awake vs Sleep,100,5,0.2,SquaredError,28657,0.963504,0.945455,0.840647,0.889976,0.971311,0.217775,53.130061,30,0.03,0.2
Awake vs Sleep,100,5,0.2,SquaredError,1597,0.962287,0.954545,0.82448,0.884758,0.973714,0.158237,65.943862,30,0.03,0.2
Awake vs Sleep,100,5,0.05,CrossEntropy,28657,0.961476,0.933333,0.840647,0.884569,0.981064,0.222661,52.078525,30,0.03,0.2
Awake vs Sleep,100,5,0.3,SquaredError,28657,0.961476,0.940104,0.833718,0.883721,0.977425,0.270089,41.870988,30,0.03,0.2
Awake vs Sleep,100,5,0.03,CrossEntropy,1597,0.961071,0.974648,0.799076,0.878173,0.983522,0.147522,68.249965,30,0.03,0.2
Awake vs Sleep,100,5,0.3,SquaredError,1597,0.961071,0.95664,0.815242,0.880299,0.971082,0.173818,62.590479,30,0.03,0.2
Awake vs Sleep,100,5,0.05,CrossEntropy,1597,0.959854,0.961326,0.803695,0.875472,0.979728,0.140581,69.743885,30,0.03,0.2
Awake vs Sleep,100,5,0.3,CrossEntropy,1597,0.959043,0.94385,0.815242,0.874845,0.979497,0.143634,69.086778,30,0.03,0.2
Awake vs Sleep,100,5,0.1,SquaredError,1597,0.958232,0.95082,0.803695,0.871089,0.976901,0.157585,66.084201,30,0.03,0.2
Awake vs Sleep,100,5,0.03,SquaredError,1597,0.957826,0.953168,0.799076,0.869347,0.978081,0.142271,69.380245,30,0.03,0.2
Awake vs Sleep,100,5,0.05,SquaredError,1597,0.957826,0.950685,0.801386,0.869674,0.978579,0.162079,65.117095,30,0.03,0.2
Awake vs Sleep,100,5,0.3,CrossEntropy,233,0.95661,0.965714,0.7806,0.863346,0.977221,0.150472,67.615247,30,0.03,0.2
Awake vs Sleep,100,5,0.2,CrossEntropy,1597,0.95661,0.952778,0.792148,0.865069,0.980049,0.145319,68.724161,30,0.03,0.2
Awake vs Sleep,100,5,0.3,SquaredError,233,0.956204,0.957746,0.785219,0.862944,0.971574,0.164343,64.629757,30,0.03,0.2
Awake vs Sleep,100,5,0.01,CrossEntropy,1597,0.956204,0.955182,0.787529,0.863291,0.980283,0.144095,68.987648,30,0.03,0.2
Awake vs Sleep,100,5,0.1,CrossEntropy,1597,0.953771,0.967742,0.762125,0.852713,0.978532,0.162415,65.044666,30,0.03,0.2
Awake vs Sleep,100,5,0.2,CrossEntropy,233,0.953366,0.967647,0.759815,0.851229,0.978947,0.145405,68.705587,30,0.03,0.2
